Offence Division,Year,Incidents Recorded
F Other offences,2022,23
E Justice procedures offences,2022,52
D Public order and security offences,2022,30
C Drug offences,2022,12
B Property and deception offences,2022,179
A Crimes against the person,2022,85
F Other offences,2021,24
E Justice procedures offences,2021,63
D Public order and security offences,2021,30
C Drug offences,2021,21
B Property and deception offences,2021,127
A Crimes against the person,2021,108
F Other offences,2020,19
E Justice procedures offences,2020,49
D Public order and security offences,2020,51
C Drug offences,2020,20
B Property and deception offences,2020,220
A Crimes against the person,2020,81
F Other offences,2019,2
E Justice procedures offences,2019,58
D Public order and security offences,2019,44
C Drug offences,2019,27
B Property and deception offences,2019,169
A Crimes against the person,2019,113
E Justice procedures offences,2018,38
D Public order and security offences,2018,47
C Drug offences,2018,26
B Property and deception offences,2018,140
A Crimes against the person,2018,99
F Other offences,2018,0
