Offence Division,Display year ending,Year,Final_Offences Recorded
F Other offences,Year ending June,2022,29
E Justice procedures offences,Year ending June,2022,126
D Public order and security offences,Year ending June,2022,47
C Drug offences,Year ending June,2022,16
B Property and deception offences,Year ending June,2022,219
A Crimes against the person,Year ending June,2022,108
F Other offences,Year ending June,2021,28
E Justice procedures offences,Year ending June,2021,109
D Public order and security offences,Year ending June,2021,66
C Drug offences,Year ending June,2021,39
B Property and deception offences,Year ending June,2021,151
A Crimes against the person,Year ending June,2021,139
F Other offences,Year ending June,2020,21
E Justice procedures offences,Year ending June,2020,92
D Public order and security offences,Year ending June,2020,71
C Drug offences,Year ending June,2020,26
B Property and deception offences,Year ending June,2020,263
A Crimes against the person,Year ending June,2020,122
F Other offences,Year ending June,2019,2
E Justice procedures offences,Year ending June,2019,86
D Public order and security offences,Year ending June,2019,62
C Drug offences,Year ending June,2019,54
B Property and deception offences,Year ending June,2019,191
A Crimes against the person,Year ending June,2019,207
E Justice procedures offences,Year ending June,2018,49
D Public order and security offences,Year ending June,2018,67
C Drug offences,Year ending June,2018,46
B Property and deception offences,Year ending June,2018,185
A Crimes against the person,Year ending June,2018,154
F Other offences,Year ending June,2017,7
E Justice procedures offences,Year ending June,2017,29
D Public order and security offences,Year ending June,2017,72
C Drug offences,Year ending June,2017,27
B Property and deception offences,Year ending June,2017,146
A Crimes against the person,Year ending June,2017,98
F Other offences,Year ending June,2016,3
E Justice procedures offences,Year ending June,2016,50
D Public order and security offences,Year ending June,2016,61
C Drug offences,Year ending June,2016,34
B Property and deception offences,Year ending June,2016,179
A Crimes against the person,Year ending June,2016,98
F Other offences,Year ending June,2015,9
E Justice procedures offences,Year ending June,2015,37
D Public order and security offences,Year ending June,2015,103
C Drug offences,Year ending June,2015,40
B Property and deception offences,Year ending June,2015,173
A Crimes against the person,Year ending June,2015,82
F Other offences,Year ending June,2014,15
E Justice procedures offences,Year ending June,2014,37
D Public order and security offences,Year ending June,2014,93
C Drug offences,Year ending June,2014,33
B Property and deception offences,Year ending June,2014,293
A Crimes against the person,Year ending June,2014,78
F Other offences,Year ending June,2013,5
E Justice procedures offences,Year ending June,2013,19
D Public order and security offences,Year ending June,2013,92
C Drug offences,Year ending June,2013,36
B Property and deception offences,Year ending June,2013,192
A Crimes against the person,Year ending June,2013,73
