Year,Year ending,Police Region,Local Government Area,Incidents Recorded,Rate,LGA
2022,June,1 North West Metro, Banyule,5198,4114.58756,Banyule
2022,June,1 North West Metro, Brimbank,11883,6107.705948,Brimbank
2022,June,1 North West Metro, Darebin,9113,6106.619615,Darebin
2022,June,1 North West Metro, Hobsons Bay,4781,5213.694573,Hobsons Bay
2022,June,1 North West Metro, Hume,11855,4702.276197,Hume
2022,June,1 North West Metro, Maribyrnong,6854,7889.40559,Maribyrnong
2022,June,1 North West Metro, Melbourne,25482,16427.50321,Melbourne
2022,June,1 North West Metro, Melton,8655,4538.968615,Melton
2022,June,1 North West Metro, Moonee Valley,6015,4922.301225,Moonee Valley
2022,June,1 North West Metro, Moreland,8912,5167.345404,Moreland
2022,June,1 North West Metro, Nillumbik,1293,2054.582291,Nillumbik
2022,June,1 North West Metro, Whittlesea,8664,3693.475807,Whittlesea
2022,June,1 North West Metro, Wyndham,12173,3957.940005,Wyndham
2022,June,1 North West Metro, Yarra,8719,9460.812939,Yarra
2022,June,1 North West Metro,Total,129597,5789.452736,Total
2022,June,2 Eastern, Alpine,381,2876.917068,Alpine
2022,June,2 Eastern, Bass Coast,2137,5096.320092,Bass Coast
2022,June,2 Eastern, Baw Baw,2958,4977.312289,Baw Baw
2022,June,2 Eastern, Benalla,938,6480.282755,Benalla
2022,June,2 Eastern, Boroondara,5468,3246.703177,Boroondara
2022,June,2 Eastern, East Gippsland,3654,7439.035661,East Gippsland
2022,June,2 Eastern, Greater Shepparton,5688,8265.446523,Greater Shepparton
2022,June,2 Eastern, Indigo,485,2796.224373,Indigo
2022,June,2 Eastern, Knox,6424,4038.728169,Knox
2022,June,2 Eastern, Latrobe,7651,9879.385445,Latrobe
2022,June,2 Eastern, Manningham,2778,2227.161419,Manningham
2022,June,2 Eastern, Mansfield,311,3018.170288,Mansfield
2022,June,2 Eastern, Maroondah,4984,4320.736622,Maroondah
2022,June,2 Eastern, Mitchell,2319,4499.702592,Mitchell
2022,June,2 Eastern, Moira,1455,4769.631706,Moira
2022,June,2 Eastern, Monash,8400,4378.225991,Monash
2022,June,2 Eastern, Murrindindi,515,3372.016069,Murrindindi
2022,June,2 Eastern, South Gippsland,1198,3907.50702,South Gippsland
2022,June,2 Eastern, Strathbogie,406,3521.074834,Strathbogie
2022,June,2 Eastern, Towong,126,2029.41884,Towong
2022,June,2 Eastern, Wangaratta,1633,5451.328615,Wangaratta
2022,June,2 Eastern, Wellington,3038,6632.357967,Wellington
2022,June,2 Eastern, Whitehorse,5441,3187.705186,Whitehorse
2022,June,2 Eastern, Wodonga,2698,6150.829838,Wodonga
2022,June,2 Eastern, Yarra Ranges,4925,3141.086323,Yarra Ranges
2022,June,2 Eastern,Total,76011,4459.831871,Total
2022,June,3 Southern Metro, Bayside,3495,3460.327518,Bayside
2022,June,3 Southern Metro, Cardinia,4531,3690.880758,Cardinia
2022,June,3 Southern Metro, Casey,13891,3684.90588,Casey
2022,June,3 Southern Metro, Frankston,8322,5935.424973,Frankston
2022,June,3 Southern Metro, Glen Eira,5139,3439.356166,Glen Eira
2022,June,3 Southern Metro, Greater Dandenong,11358,7154.149244,Greater Dandenong
2022,June,3 Southern Metro, Kingston,7005,4429.17124,Kingston
2022,June,3 Southern Metro, Mornington Peninsula,6602,3863.123032,Mornington Peninsula
2022,June,3 Southern Metro, Port Phillip,9185,8900.303444,Port Phillip
2022,June,3 Southern Metro, Stonnington,7907,7506.668434,Stonnington
2022,June,3 Southern Metro,Total,77435,4880.231361,Total
2022,June,4 Western, Ararat,902,7609.76917,Ararat
2022,June,4 Western, Ballarat,7678,6629.842456,Ballarat
2022,June,4 Western, Buloke,227,3711.576194,Buloke
2022,June,4 Western, Campaspe,2511,6486.354759,Campaspe
2022,June,4 Western, Central Goldfields,817,6088.131711,Central Goldfields
2022,June,4 Western, Colac Otway,1172,5253.34603,Colac Otway
2022,June,4 Western, Corangamite,577,3616.677641,Corangamite
2022,June,4 Western, Gannawarra,541,5083.572737,Gannawarra
2022,June,4 Western, Glenelg,1260,6280.868814,Glenelg
2022,June,4 Western, Golden Plains,448,1763.571232,Golden Plains
2022,June,4 Western, Greater Bendigo,7354,5980.969868,Greater Bendigo
2022,June,4 Western, Greater Geelong,14703,5309.900479,Greater Geelong
2022,June,4 Western, Hepburn,443,2663.320534,Hepburn
2022,June,4 Western, Hindmarsh,263,4662.902767,Hindmarsh
2022,June,4 Western, Horsham,1610,7899.247935,Horsham
2022,June,4 Western, Loddon,376,4871.384826,Loddon
2022,June,4 Western, Macedon Ranges,1420,2711.684272,Macedon Ranges
2022,June,4 Western, Mildura,5179,9082.777973,Mildura
2022,June,4 Western, Moorabool,1456,3747.763506,Moorabool
2022,June,4 Western, Mount Alexander,725,3566.991952,Mount Alexander
2022,June,4 Western, Moyne,533,3058.168765,Moyne
2022,June,4 Western, Northern Grampians,793,6661.436976,Northern Grampians
2022,June,4 Western, Pyrenees,302,3936.948019,Pyrenees
2022,June,4 Western, Queenscliffe,110,3291.961994,Queenscliffe
2022,June,4 Western, Southern Grampians,756,4597.779806,Southern Grampians
2022,June,4 Western, Surf Coast,970,2477.897419,Surf Coast
2022,June,4 Western, Swan Hill,1648,7753.878989,Swan Hill
2022,June,4 Western, Warrnambool,2134,5982.154921,Warrnambool
2022,June,4 Western, West Wimmera,136,3454.591195,West Wimmera
2022,June,4 Western, Yarriambiack,308,4804.302133,Yarriambiack
2022,June,4 Western,Total,57352,5398.963324,Total
2022,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,860,,Justice Institutions and Immigration Facilities
2022,June,Justice Institutions and Immigration Facilities,Total,860,,Total
2022,June,Unincorporated Vic, Unincorporated Vic,85,,Unincorporated Vic
2022,June,Unincorporated Vic,Total,85,,Total
2021,June,1 North West Metro, Banyule,6193,4861.983419,Banyule
2021,June,1 North West Metro, Brimbank,14322,7280.69462,Brimbank
2021,June,1 North West Metro, Darebin,11326,7533.841088,Darebin
2021,June,1 North West Metro, Hobsons Bay,4432,4803.034408,Hobsons Bay
2021,June,1 North West Metro, Hume,15253,6179.056107,Hume
2021,June,1 North West Metro, Maribyrnong,7077,8191.161832,Maribyrnong
2021,June,1 North West Metro, Melbourne,25589,16651.48301,Melbourne
2021,June,1 North West Metro, Melton,9617,5306.721553,Melton
2021,June,1 North West Metro, Moonee Valley,6170,5017.68796,Moonee Valley
2021,June,1 North West Metro, Moreland,10104,5822.25526,Moreland
