Year,Local Government Area,Criminal Incident Rate,LGA
2022, Banyule,4114.59,Banyule
2022, Brimbank,6107.71,Brimbank
2022, Darebin,6106.62,Darebin
2022, Hobsons Bay,5213.69,Hobsons Bay
2022, Hume,4702.28,Hume
2022, Maribyrnong,7889.41,Maribyrnong
2022, Melbourne,16427.5,Melbourne
2022, Melton,4538.97,Melton
2022, Moonee Valley,4922.3,Moonee Valley
2022, Moreland,5167.35,Moreland
2022, Nillumbik,2054.58,Nillumbik
2022, Whittlesea,3693.48,Whittlesea
2022, Wyndham,3957.94,Wyndham
2022, Yarra,9460.81,Yarra
2022, Alpine,2876.92,Alpine
2022, Bass Coast,5096.32,Bass Coast
2022, Baw Baw,4977.31,Baw Baw
2022, Benalla,6480.28,Benalla
2022, Boroondara,3246.7,Boroondara
2022, East Gippsland,7439.04,East Gippsland
2022, Greater Shepparton,8265.45,Greater Shepparton
2022, Indigo,2796.22,Indigo
2022, Knox,4038.73,Knox
2022, Latrobe,9879.39,Latrobe
2022, Manningham,2227.16,Manningham
2022, Mansfield,3018.17,Mansfield
2022, Maroondah,4320.74,Maroondah
2022, Mitchell,4499.7,Mitchell
2022, Moira,4769.63,Moira
2022, Monash,4378.23,Monash
2022, Murrindindi,3372.02,Murrindindi
2022, South Gippsland,3907.51,South Gippsland
2022, Strathbogie,3521.07,Strathbogie
2022, Towong,2029.42,Towong
2022, Wangaratta,5451.33,Wangaratta
2022, Wellington,6632.36,Wellington
2022, Whitehorse,3187.71,Whitehorse
2022, Wodonga,6150.83,Wodonga
2022, Yarra Ranges,3141.09,Yarra Ranges
2022, Bayside,3460.33,Bayside
2022, Cardinia,3690.88,Cardinia
2022, Casey,3684.91,Casey
2022, Frankston,5935.42,Frankston
2022, Glen Eira,3439.36,Glen Eira
2022, Greater Dandenong,7154.15,Greater Dandenong
2022, Kingston,4429.17,Kingston
2022, Mornington Peninsula,3863.12,Mornington Peninsula
2022, Port Phillip,8900.3,Port Phillip
2022, Stonnington,7506.67,Stonnington
2022, Ararat,7609.77,Ararat
2022, Ballarat,6629.84,Ballarat
2022, Buloke,3711.58,Buloke
2022, Campaspe,6486.35,Campaspe
2022, Central Goldfields,6088.13,Central Goldfields
2022, Colac-Otway,5253.35,Colac-Otway
2022, Corangamite,3616.68,Corangamite
2022, Gannawarra,5083.57,Gannawarra
2022, Glenelg,6280.87,Glenelg
2022, Golden Plains,1763.57,Golden Plains
2022, Greater Bendigo,5980.97,Greater Bendigo
2022, Greater Geelong,5309.9,Greater Geelong
2022, Hepburn,2663.32,Hepburn
2022, Hindmarsh,4662.9,Hindmarsh
2022, Horsham,7899.25,Horsham
2022, Loddon,4871.38,Loddon
2022, Macedon Ranges,2711.68,Macedon Ranges
2022, Mildura,9082.78,Mildura
2022, Moorabool,3747.76,Moorabool
2022, Mount Alexander,3566.99,Mount Alexander
2022, Moyne,3058.17,Moyne
2022, Northern Grampians,6661.44,Northern Grampians
2022, Pyrenees,3936.95,Pyrenees
2022, Queenscliffe,3291.96,Queenscliffe
2022, Southern Grampians,4597.78,Southern Grampians
2022, Surf Coast,2477.9,Surf Coast
2022, Swan Hill,7753.88,Swan Hill
2022, Warrnambool,5982.15,Warrnambool
2022, West Wimmera,3454.59,West Wimmera
2022, Yarriambiack,4804.3,Yarriambiack
2021, Banyule,"4,862.00",Banyule
2021, Brimbank,"7,280.70",Brimbank
2021, Darebin,"7,533.80",Darebin
2021, Hobsons Bay,"4,803.00",Hobsons Bay
2021, Hume,"6,179.10",Hume
2021, Maribyrnong,"8,191.20",Maribyrnong
2021, Melbourne,"16,651.50",Melbourne
2021, Melton,"5,306.70",Melton
2021, Moonee Valley,"5,017.70",Moonee Valley
2021, Moreland,"5,822.30",Moreland
2021, Nillumbik,"2,326.10",Nillumbik
2021, Whittlesea,"4,818.80",Whittlesea
2021, Wyndham,"4,301.60",Wyndham
2021, Yarra,"11,230.80",Yarra
2021, Alpine,"2,827.60",Alpine
2021, Bass Coast,"5,260.70",Bass Coast
2021, Baw Baw,"5,951.70",Baw Baw
2021, Benalla,"6,943.40",Benalla
2021, Boroondara,"3,236.60",Boroondara
2021, East Gippsland,"7,368.00",East Gippsland
2021, Greater Shepparton,"8,632.30",Greater Shepparton
2021, Indigo,"2,417.50",Indigo
2021, Knox,"4,863.40",Knox
2021, Latrobe,"11,371.70",Latrobe
2021, Manningham,"2,629.80",Manningham
2021, Mansfield,"3,955.70",Mansfield
2021, Maroondah,"4,882.00",Maroondah
2021, Mitchell,"6,022.10",Mitchell
2021, Moira,"5,630.80",Moira
2021, Monash,"4,853.60",Monash
2021, Murrindindi,"4,202.50",Murrindindi
2021, South Gippsland,"4,226.70",South Gippsland
2021, Strathbogie,"4,206.30",Strathbogie
2021, Towong,"2,717.10",Towong
2021, Wangaratta,"5,474.10",Wangaratta
2021, Wellington,"6,824.80",Wellington
2021, Whitehorse,"3,860.60",Whitehorse
2021, Wodonga,"5,492.90",Wodonga
2021, Yarra Ranges,"3,734.60",Yarra Ranges
2021, Bayside,"3,583.30",Bayside
2021, Cardinia,"4,600.00",Cardinia
2021, Casey,"4,237.60",Casey
2021, Frankston,"6,805.70",Frankston
2021, Glen Eira,"3,780.10",Glen Eira
2021, Greater Dandenong,"8,449.70",Greater Dandenong
2021, Kingston,"4,793.60",Kingston
2021, Mornington Peninsula,"4,114.70",Mornington Peninsula
2021, Port Phillip,"9,941.30",Port Phillip
2021, Stonnington,"8,346.00",Stonnington
2021, Ararat,"9,457.70",Ararat
2021, Ballarat,"6,402.80",Ballarat
2021, Buloke,"3,491.00",Buloke
2021, Campaspe,"6,301.70",Campaspe
2021, Central Goldfields,"5,828.70",Central Goldfields
2021, Colac-Otway,"5,030.50",Colac-Otway
2021, Corangamite,"3,830.60",Corangamite
2021, Gannawarra,"5,889.60",Gannawarra
2021, Glenelg,"5,300.20",Glenelg
2021, Golden Plains,"1,788.70",Golden Plains
2021, Greater Bendigo,"6,583.00",Greater Bendigo
2021, Greater Geelong,"5,600.60",Greater Geelong
2021, Hepburn,"2,791.90",Hepburn
