Year,Year ending,Police Region,Local Government Area,Family Incidents,Rate
2022,June,1 North West Metro, Banyule,1194.00,945.14
2022,June,1 North West Metro, Brimbank,2756.00,1416.55
2022,June,1 North West Metro, Darebin,1632.00,1093.60
2022,June,1 North West Metro, Hobsons Bay,1027.00,1119.95
2022,June,1 North West Metro, Hume,3760.00,1491.40
2022,June,1 North West Metro, Maribyrnong,1024.00,1178.69
2022,June,1 North West Metro, Melbourne,2168.00,1397.65
2022,June,1 North West Metro, Melton,2881.00,1510.89
2022,June,1 North West Metro, Moonee Valley,1205.00,986.10
2022,June,1 North West Metro, Moreland,1997.00,1157.90
2022,June,1 North West Metro, Nillumbik,454.00,721.41
2022,June,1 North West Metro, Whittlesea,2951.00,1258.02
2022,June,1 North West Metro, Wyndham,4031.00,1310.64
2022,June,1 North West Metro, Yarra,1124.00,1219.63
2022,June,1 North West Metro,Total,28204.00,1259.95
2022,June,2 Eastern, Alpine,141.00,1064.69
2022,June,2 Eastern, Bass Coast,879.00,2096.24
2022,June,2 Eastern, Baw Baw,944.00,1588.43
2022,June,2 Eastern, Benalla,362.00,2500.92
2022,June,2 Eastern, Boroondara,1020.00,605.64
2022,June,2 Eastern, East Gippsland,1646.00,3351.03
2022,June,2 Eastern, Greater Shepparton,1727.00,2509.57
2022,June,2 Eastern, Indigo,191.00,1101.19
2022,June,2 Eastern, Knox,1939.00,1219.04
2022,June,2 Eastern, Latrobe,2559.00,3304.32
2022,June,2 Eastern, Manningham,948.00,760.02
2022,June,2 Eastern, Mansfield,122.00,1183.98
2022,June,2 Eastern, Maroondah,1385.00,1200.69
2022,June,2 Eastern, Mitchell,985.00,1911.26
2022,June,2 Eastern, Moira,480.00,1573.49
2022,June,2 Eastern, Monash,1951.00,1016.90
2022,June,2 Eastern, Murrindindi,217.00,1420.83
2022,June,2 Eastern, South Gippsland,540.00,1761.31
2022,June,2 Eastern, Strathbogie,165.00,1430.98
2022,June,2 Eastern, Towong,32.00,515.41
2022,June,2 Eastern, Wangaratta,618.00,2063.03
2022,June,2 Eastern, Wellington,1218.00,2659.06
2022,June,2 Eastern, Whitehorse,1379.00,807.91
2022,June,2 Eastern, Wodonga,918.00,2092.83
2022,June,2 Eastern, Yarra Ranges,1964.00,1252.61
2022,June,2 Eastern,Total,24330.00,1427.53
2022,June,3 Southern Metro, Bayside,762.00,754.44
2022,June,3 Southern Metro, Cardinia,1581.00,1287.86
2022,June,3 Southern Metro, Casey,5004.00,1327.43
2022,June,3 Southern Metro, Frankston,2607.00,1859.37
2022,June,3 Southern Metro, Glen Eira,1197.00,801.11
2022,June,3 Southern Metro, Greater Dandenong,2516.00,1584.77
2022,June,3 Southern Metro, Kingston,1845.00,1166.57
2022,June,3 Southern Metro, Mornington Peninsula,2042.00,1194.86
2022,June,3 Southern Metro, Port Phillip,1401.00,1357.57
2022,June,3 Southern Metro, Stonnington,891.00,845.89
2022,June,3 Southern Metro,Total,19846.00,1250.77
2022,June,4 Western, Ararat,265.00,2235.69
2022,June,4 Western, Ballarat,2043.00,1764.10
2022,June,4 Western, Buloke,79.00,1291.69
2022,June,4 Western, Campaspe,886.00,2288.69
2022,June,4 Western, Central Goldfields,339.00,2526.16
2022,June,4 Western, Colac-Otway,393.00,1761.57
2022,June,4 Western, Corangamite,163.00,1021.70
2022,June,4 Western, Gannawarra,161.00,1512.86
2022,June,4 Western, Glenelg,413.00,2058.73
2022,June,4 Western, Golden Plains,177.00,696.77
2022,June,4 Western, Greater Bendigo,2225.00,1809.58
2022,June,4 Western, Greater Geelong,4389.00,1585.06
2022,June,4 Western, Hepburn,181.00,1088.17
2022,June,4 Western, Hindmarsh,81.00,1436.10
2022,June,4 Western, Horsham,511.00,2507.15
2022,June,4 Western, Loddon,121.00,1567.65
2022,June,4 Western, Macedon Ranges,465.00,887.98
2022,June,4 Western, Mildura,1991.00,3491.76
2022,June,4 Western, Moorabool,488.00,1256.12
2022,June,4 Western, Mount Alexander,184.00,905.28
2022,June,4 Western, Moyne,173.00,992.61
2022,June,4 Western, Northern Grampians,273.00,2293.28
2022,June,4 Western, Pyrenees,87.00,1134.15
2022,June,4 Western, Queenscliffe,14.00,418.98
2022,June,4 Western, Southern Grampians,240.00,1459.61
2022,June,4 Western, Surf Coast,304.00,776.58
2022,June,4 Western, Swan Hill,604.00,2841.83
2022,June,4 Western, Warrnambool,651.00,1824.92
2022,June,4 Western, West Wimmera,46.00,1168.46
2022,June,4 Western, Yarriambiack,97.00,1513.04
2022,June,4 Western,Total,18044.00,1698.61
2022,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,111.00,
2022,June,Justice Institutions and Immigration Facilities,Total,111.00,
2022,June,Unincorporated Vic, Unincorporated Vic,11.00,
2022,June,Unincorporated Vic,Total,11.00,
2021,June,1 North West Metro, Banyule,1359.00,1066.92
2021,June,1 North West Metro, Brimbank,2989.00,1519.48
2021,June,1 North West Metro, Darebin,1873.00,1245.88
2021,June,1 North West Metro, Hobsons Bay,1086.00,1176.92
2021,June,1 North West Metro, Hume,4185.00,1695.36
2021,June,1 North West Metro, Maribyrnong,968.00,1120.40
2021,June,1 North West Metro, Melbourne,2137.00,1390.61
2021,June,1 North West Metro, Melton,3088.00,1703.98
2021,June,1 North West Metro, Moonee Valley,1233.00,1002.72
2021,June,1 North West Metro, Moreland,1941.00,1118.47
2021,June,1 North West Metro, Nillumbik,506.00,797.43
2021,June,1 North West Metro, Whittlesea,3307.00,1426.67
2021,June,1 North West Metro, Wyndham,3975.00,1342.03
2021,June,1 North West Metro, Yarra,1155.00,1261.70
2021,June,1 North West Metro,Total,29802.00,1345.86
2021,June,2 Eastern, Alpine,154.00,1170.57
2021,June,2 Eastern, Bass Coast,967.00,2379.37
2021,June,2 Eastern, Baw Baw,1020.00,1771.45
2021,June,2 Eastern, Benalla,388.00,2688.66
2021,June,2 Eastern, Boroondara,991.00,583.28
2021,June,2 Eastern, East Gippsland,1568.00,3236.13
2021,June,2 Eastern, Greater Shepparton,1623.00,2368.58
2021,June,2 Eastern, Indigo,158.00,916.00
2021,June,2 Eastern, Knox,1950.00,1215.07
2021,June,2 Eastern, Latrobe,2530.00,3282.05
2021,June,2 Eastern, Manningham,915.00,727.19
2021,June,2 Eastern, Mansfield,122.00,1206.49
2021,June,2 Eastern, Maroondah,1406.00,1211.23
2021,June,2 Eastern, Mitchell,1222.00,2459.54
2021,June,2 Eastern, Moira,495.00,1630.92
2021,June,2 Eastern, Monash,1810.00,937.58
2021,June,2 Eastern, Murrindindi,208.00,1374.39
2021,June,2 Eastern, South Gippsland,532.00,1751.27
2021,June,2 Eastern, Strathbogie,184.00,1619.15
