Year,Year ending,Age Group,Sex,Harm Caused Flag,Victim Reports
2022,June,0-4,Females,High Harm,118
2022,June,0-4,Females,Low Harm,33
2022,June,0-4,Females,Medium Harm,116
2022,June,0-4,Males,High Harm,117
2022,June,0-4,Males,Low Harm,38
2022,June,0-4,Males,Medium Harm,175
2022,June,0-4,People,High Harm,235
2022,June,0-4,People,Low Harm,71
2022,June,0-4,People,Medium Harm,291
2022,June,5-9,Females,High Harm,277
2022,June,5-9,Females,Low Harm,13
2022,June,5-9,Females,Medium Harm,223
2022,June,5-9,Males,High Harm,175
2022,June,5-9,Males,Low Harm,24
2022,June,5-9,Males,Medium Harm,350
2022,June,5-9,People,High Harm,452
2022,June,5-9,People,Low Harm,37
2022,June,5-9,People,Medium Harm,573
2022,June,10-14,Females,High Harm,1492
2022,June,10-14,Females,Low Harm,155
2022,June,10-14,Females,Medium Harm,957
2022,June,10-14,Males,High Harm,787
2022,June,10-14,Males,Low Harm,475
2022,June,10-14,Males,Medium Harm,966
2022,June,10-14,People,High Harm,2280
2022,June,10-14,People,Low Harm,630
2022,June,10-14,People,Medium Harm,1923
2022,June,15-17,Females,High Harm,1730
2022,June,15-17,Females,Low Harm,380
2022,June,15-17,Females,Medium Harm,978
2022,June,15-17,Males,High Harm,972
2022,June,15-17,Males,Low Harm,884
2022,June,15-17,Males,Medium Harm,892
2022,June,15-17,People,High Harm,2703
2022,June,15-17,People,Low Harm,1264
2022,June,15-17,People,Medium Harm,1871
2022,June,18-19,Females,High Harm,837
2022,June,18-19,Females,Low Harm,948
2022,June,18-19,Females,Medium Harm,828
2022,June,18-19,Males,High Harm,512
2022,June,18-19,Males,Low Harm,1305
2022,June,18-19,Males,Medium Harm,655
2022,June,18-19,People,High Harm,1349
2022,June,18-19,People,Low Harm,2255
2022,June,18-19,People,Medium Harm,1483
2022,June,20-24,Females,High Harm,2031
2022,June,20-24,Females,Low Harm,4334
2022,June,20-24,Females,Medium Harm,2515
2022,June,20-24,Males,High Harm,1475
2022,June,20-24,Males,Low Harm,5608
2022,June,20-24,Males,Medium Harm,2229
2022,June,20-24,People,High Harm,3507
2022,June,20-24,People,Low Harm,9945
2022,June,20-24,People,Medium Harm,4744
2022,June,25-29,Females,High Harm,2157
2022,June,25-29,Females,Low Harm,5922
2022,June,25-29,Females,Medium Harm,3136
2022,June,25-29,Males,High Harm,1930
2022,June,25-29,Males,Low Harm,8010
2022,June,25-29,Males,Medium Harm,2736
2022,June,25-29,People,High Harm,4087
2022,June,25-29,People,Low Harm,13935
2022,June,25-29,People,Medium Harm,5873
2022,June,30-34,Females,High Harm,1833
2022,June,30-34,Females,Low Harm,6044
2022,June,30-34,Females,Medium Harm,3119
2022,June,30-34,Males,High Harm,1751
2022,June,30-34,Males,Low Harm,7977
2022,June,30-34,Males,Medium Harm,2545
2022,June,30-34,People,High Harm,3584
2022,June,30-34,People,Low Harm,14024
2022,June,30-34,People,Medium Harm,5664
2022,June,35-39,Females,High Harm,1558
2022,June,35-39,Females,Low Harm,5257
2022,June,35-39,Females,Medium Harm,2844
2022,June,35-39,Males,High Harm,1553
2022,June,35-39,Males,Low Harm,7419
2022,June,35-39,Males,Medium Harm,2315
2022,June,35-39,People,High Harm,3111
2022,June,35-39,People,Low Harm,12677
2022,June,35-39,People,Medium Harm,5159
2022,June,40-44,Females,High Harm,1176
2022,June,40-44,Females,Low Harm,4601
2022,June,40-44,Females,Medium Harm,2255
2022,June,40-44,Males,High Harm,1255
2022,June,40-44,Males,Low Harm,6280
2022,June,40-44,Males,Medium Harm,1905
2022,June,40-44,People,High Harm,2431
2022,June,40-44,People,Low Harm,10882
2022,June,40-44,People,Medium Harm,4161
2022,June,45-49,Females,High Harm,1007
2022,June,45-49,Females,Low Harm,4292
2022,June,45-49,Females,Medium Harm,1972
2022,June,45-49,Males,High Harm,1080
2022,June,45-49,Males,Low Harm,5737
2022,June,45-49,Males,Medium Harm,1822
2022,June,45-49,People,High Harm,2087
2022,June,45-49,People,Low Harm,10031
2022,June,45-49,People,Medium Harm,3794
2022,June,50-54,Females,High Harm,803
2022,June,50-54,Females,Low Harm,4242
2022,June,50-54,Females,Medium Harm,1663
2022,June,50-54,Males,High Harm,947
2022,June,50-54,Males,Low Harm,5451
2022,June,50-54,Males,Medium Harm,1656
2022,June,50-54,People,High Harm,1750
2022,June,50-54,People,Low Harm,9693
2022,June,50-54,People,Medium Harm,3319
2022,June,55-59,Females,High Harm,512
2022,June,55-59,Females,Low Harm,3133
2022,June,55-59,Females,Medium Harm,1087
2022,June,55-59,Males,High Harm,762
2022,June,55-59,Males,Low Harm,4572
2022,June,55-59,Males,Medium Harm,1412
2022,June,55-59,People,High Harm,1274
2022,June,55-59,People,Low Harm,7706
2022,June,55-59,People,Medium Harm,2499
2022,June,60-64,Females,High Harm,308
2022,June,60-64,Females,Low Harm,2458
2022,June,60-64,Females,Medium Harm,761
